page,position_page,brand,model,year,price,mileage,gearbox,region,listing_url
3,17,Peugeot,307,2007.0,2500000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2633
3,18,Citroen,C4,2006.0,2200000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2583
3,19,Mercedes‒Benz,190,2004.0,2200000,140000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-mercedes-benz-190-dakar-dakar-3645
3,20,Peugeot,308,2012.0,3800000,103000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-895
4,1,Nissan,Altima,2014.0,2500000,110000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-altima-dakar-dakar-4139
4,2,Renault,Scenic,2005.0,2200000,140000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-2610
4,3,Renault,Megane,2005.0,2000000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1779
4,4,Renault,Clio,2004.0,1900000,120000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-clio-dakar-dakar-418
4,5,Honda,Elysion,2011.0,3500000,160000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-honda-elysion-dakar-dakar-1905
4,6,Honda,Civic,2007.0,2300000,180000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-honda-civic-dakar-dakar-806
4,7,Toyota,Aygo,2009.0,2700000,150000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-aygo-dakar-dakar-1778
4,8,Peugeot,307,2007.0,2000000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1764
4,9,Peugeot,309,2000.0,2800000,130000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-309-dakar-dakar-4162
4,10,Peugeot,207,2012.0,3800000,142000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-207-dakar-dakar-1989
4,11,Mitsubishi,L200,2008.0,7200000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-1998
4,12,Peugeot,308,2008.0,2500000,140000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-407
4,13,Ford,Focus,2014.0,4500000,115000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-focus-dakar-dakar-3026
4,14,Rover,600,2002.0,1800000,128000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-rover-600-dakar-dakar-677
4,15,Hyundai,Sonata,2011.0,3500000,66000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-sonata-dakar-dakar-2221
4,16,Hyundai,Tucson,2006.0,3000000,164231.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-739
4,17,Volkswagen,Passat,2006.0,2500000,164686.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-820
4,18,Ford,Taurus,2006.0,3800000,200000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-taurus-dakar-dakar-3404
4,19,Peugeot,307,2008.0,2500000,128000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-583
4,20,Dacia,Logan,2010.0,2000000,161000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-848
5,1,Toyota,Camry,2009.0,3500000,145000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-camry-dakar-dakar-3067
5,2,Peugeot,307,2008.0,2800000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1575
5,3,Chevrolet,Camaro,2012.0,4000000,220000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-chevrolet-camaro-dakar-dakar-325
